Strain,Type,Rating,Effects,Flavor,Description,labels
SweetTooth,indica,4,RelaxedHappyEuphoricUpliftedSleepy,SweetFloweryBerry,Sweet Tooth was awarded 1st place at the High Times Cannabis Cup in 2001 and as you could probably guess from the name it has a sweet smell of flowers and berries that accompaniesit The potent colas of this balanced hybrid are candycoated with trichomes providing uplifted and euphoric effects that are great for combating stress and headaches Bred by Barneys Farm Sweet Tooths genetics sprout from mixing landrace strains from Afghanistan Hawaii and Nepal,1
SweetAndSourWidow,indica,4,RelaxedUpliftedHappyFocusedSleepy,EarthySweetWoody,Bred by CBD Crew Sweet and Sour Widow is a 7030 indicadominant cannabis strain with a 11 CBDTHC ratio and a subtle sweet onion aroma Because of its balanced cannabinoid profile Sweet and Sour Widows psychoactive effects are mild making this strain suitable for novice consumers and patients needing to medicate without a foggy head Sweet and Sour Widow is derived from White Widow genetics and an unnamed sativahybrid to accentuate its CBD profile,1
SwissGold,sativa,4,RelaxedHappyFocusedUpliftedHungry,DieselCitrusBerry,Swiss Gold is ahighCBD strainfrom Northern California that is typically classified as asativaand was bred by the late Lawrence Ringo Ringo describes the structure of the strain as pureindica short and fatSwiss Gold regularly tests with CBDTHC ratios of 21 and carries an earthy aroma of fresh citrus The relaxing effects reduce pain and stress while stimulating the appetite and eventually cradle you to sleep,0
Swiss,indica,4,EnergeticCreativeRelaxedHappyUplifted,PungentAmmoniaBerry,Swiss refers to any indica strain that grows natively in theregion of Switzerland These indigenous vareities also called landraces can exhibit indica or sativa characteristics depending on the climate and latitude at which it grows,1
SwissSativa,sativa,4,,Unknown,Swiss refers to any sativastrain that grows natively in theregion of Switzerland These indigenous vareities also calledlandraces can exhibitindicaorsativacharacteristics depending on the climate and latitude at which it grows,0
SwissTsunami,sativa,4,RelaxedUpliftedFocusedHappySleepy,EarthyCitrusOrange,Swiss Tsunami is a rare CBDrich strain with a pungent smell A genetic cross of Swiss Gold and Sour Tsunami SwissTsu is a potent pairing that can generate over 14 CBD with just 05 THC on average Reeking of skunky herbaceous terpenes and having the bright yet delicate flavor of orange peel on the exhale Swiss Tsunami is a connoisseur CBD cut in a league of its own Enjoy this strain to help relieve inflammation nausea and anxiety,0
TahoePurps,indica,3,SleepyCreativeHungryRelaxed,CitrusEarthyWoody,Tahoe Hydro is up to their awardwinning tricks again with their strain Tahoe Purps Created by combining Tahoe Hydro OG and the wise elderly indica Grandaddy Purple Tahoe Purps is sedative bodymelting strain that insulates the consumer inside a relaxing carefree aura This indicadominant strain creates tight nuggets speckled with purple and trichomes But unlike its older grapey parentage Tahoe Purps retains a strong citrus aroma reminiscent of OG genetics These limonene terpenes are juxtaposed against earthy floral undertones that also speak to the strains strong OG background   ,1
TalibanPoison,indica,3,HungryArousedSleepyGigglyHappy,DieselSkunkPine,Unknown,1
TangerineKush,indica,4,RelaxedSleepyHappyEuphoricHungry,CitrusOrangeTropical,Tangerine Kush embodies the California sunshine This cannabisstrain got its name for both its citrusy flavor and its halo of bright orange hairs covering the bud While the effects of this indica are particularly shortlasting Tangerine Kush is potent with a quick onset Providing consumers with a happy bodyheavy sensation this strain is great for those looking for a lazy day at the beach Tangerine Kushs effects are felt more in the head than many other indicas Upon first taste consumers may feel uplifted and energized After a few minutes however a heavy lazy sensation kicks in If youre looking for a strain to help you relax Tangerine Kush may be worth a try,1
TangerineMan,sativa,4,EuphoricEnergeticUpliftedHungryHappy,CitrusOrangePungent,From Leafs by Snoop comes Tangerine Man a sativadominant hybrid that is perhaps the best of his new strains With a citrus aroma and trichomecoated buds expect a nice pickmeup that pairs wonderfully with daytime physical activity,0
TangerineSunrise,sativa,4,TinglyRelaxedArousedHappyCreative,CitrusWoodySage,Tangerine Sunrise is easily Colorado Seed Incs most popular strain It was listed as one of The Ten Best Marijuana Strains of 2014 in the Westerword and has only grown more popular since With an outstanding aroma that has been described as freshly squeezed orange juice with just a touch of Haze muskiness Tangerine Sunrise shines even before combustion Its effects are kind to the body and light on the mind eliciting a clearheaded mental buzz with positive euphoria This allday flower is deep green with red rusty pistils Its genetic lineage is Hawaiian Sunrise crossed with Tangenesia Ghiesel Amnesia Haze x Tangerine Haze,0
TangerineTrainwreckHaze,sativa,5,EuphoricArousedUpliftedCreativeEnergetic,SweetCitrusOrange,Tangerine Trainwreck Haze is another beautiful cut by Rare Dankness Seeds Created by crossing Tangerine Haze and Nevils Wreck Tangerine Trainwreck Haze expresses bright green and orange buds knotted in red hairs These buds explode with spicy tropical aromas that hold touches of citrus fuel cracked pepper and musk Tangerine Trainwreck Haze requires a little extra time but has been known to fill out all available canopy space offering a generous yield to the attentive gardener ,0
Tangie,sativa,4,HappyUpliftedEnergeticEuphoricRelaxed,CitrusOrangeSweet,Tangie is another fantastic offering from DNA Genetics in Amsterdam that has quickly gained popularity in its home and is spreading elsewhere This strain is a remake of sorts of the popular version of Tangerine Dream that was soughtafter in the 1990s The genetics on this strain are a cross of California Orange and a Skunk hybrid and its citrus heritage is the most evident in its refreshing tangerine aroma As a plant Tangie grows best outside producing sticky buds that provide euphoric yet relaxed effects,0
TangieGhostTrain,sativa,4,UpliftedHappyEnergeticEuphoricFocused,CitrusOrangePungent,Tangie Ghost Train is a wonderful genetic pairing of potent and familiar cultivars created through a collaboration with Rare Dankness DNA Genetics and Little Chief Tangie Ghost Train is a cross between DNA Genetics Tangie and Rare Danknesss Ghost Train Haze 1 Expressing bulbous golfball shaped buds with a dense structure and light orange hue Tangie Ghost Train is as delicious as it looks The trichomecovered buds reek of cedar and candied oranges with a tangy pungent finish This sativadominant strain is perfect for overcoming chronic fatigue,0
Tangilope,sativa,4,HappyUpliftedEnergeticTalkativeCreative,CitrusOrangeTropical,Tangilope is a chocolatey citrus blend of Tangie and Chocolope two of DNA Genetics best sativas It is best known for its intense terpene profile and exotic smell The cerebral effects evoke happiness giggles and can stimulate creativity,0
Tardis,sativa,5,TalkativeCreativeEuphoricFocusedAroused,SweetDieselSpicyHerbal,Tardis or The Tardis is a sativadominant strain with farout cerebral effects Appropriating the title of Dr Whos famous phone booth Tardis is a cross of Oregon Diesel and Trainwreck This heady pairing lands behind the eyes saddling the mind with euphoria and introspective thoughts These attributes make Tardis a strong mood enhancer teasing at the consumers imagination and creativity while helping abate stress Respect this strains potency as it has been reported to reach upwards of 26 THC ,0
TerminatorOg,indica,4,RelaxedHappySleepyCreativeEuphoric,SweetPineRose,Terminator Kush also known as Terminator OG is a heavy indicadominant strain with effects similar to that of Death Star and Brutus This strain offers medium to heavy physical effects that creep onto the body while simultaneously wrapping the consumers mind in heady energy While this mental stimulation initially holds Terminator Kush upright the cerebral buzz is second to the physical relaxation that sets in over time,1
TeslaTower,sativa,4,TinglyUpliftedRelaxedCreativeEnergetic,PepperSweetBerry,A cross of Lazy Bee Gardens favorite sativa hybrids Tesla Tower is a robust strain with cerebral effects This inhouse cross offers the creative attributes of White Fire OG with the uplifting energetic high of Snowcap creating an upbeat buzz that is both stimulating and motivating This strain is a helpful companion while getting chores done or going on an adventure Tesla Tower was also runner up Best Sativa at the 2017 Dope Cup,0
Thai,sativa,4,HappyRelaxedFocusedUpliftedEnergetic,EarthyFlowerySweet,Thai refers to a cannabis variety that grows natively in Thailand and was brought to the US in the 70s and 80s This pure sativa landrace is sometimes called Thai Sticks because of the way its buds are traditionally dried and tied into long sticks This original Thai variety has given rise to many strains we commonly see on the market today including Voodoo Juicy Fruit and the classic Haze Thai induces powerful but comfortable effects and has a distinct fruity citrus aroma This strain is a challenge for growers outside tropical climates but greenhouse gardens make this grow possible for experts patient enough for Thais long growth cycle and slow flowering,0
ThaiHaze,sativa,4,CreativeEnergeticHappyArousedEuphoric,PinePepperSweet,Thai Haze is you guessed it a cross between Thai and Haze strains that creates a creative euphoric headbased high Like many sativas this strain takes longer to flower and may require some experience to grow since it can be fickle Space can also be a concern as plants grow large and tall up to six feet Its yellowgreen flowers should be sticky and will give off a spicy and skunky scent that Haze lovers will recognize The taste also includes an earthy sweetness that is telling of its Thai genetics Effects can be slow to come on but be careful once they do the almost psychedelic effects of haze brain are definitely possible side effects,0
ThaiTanic,sativa,4,EnergeticUpliftedHappyFocusedEuphoric,SweetEarthyWoody,ThaiTanicis a very compact sativa varietywith thatclassic chocolate Thai smell and taste The Skunk father dominates only in fast maturation high yields and general vigor This strain from Dutch seed bank Flying Dutchmen is a heavy resin producer with an extremely potent andtrippy cerebral high,0
TheBlack,indica,4,RelaxedHappySleepyUpliftedEuphoric,EarthySweetWoody,The Black is a strong 90 indica bred byBC Bud Depot This strain dates back to the late 1980s originating in California and on Vancouver Island in Canada As characteristic of manyindicas this strain is optimally used forpain reliefand as asleeping aidThe Black was named after its unique growering characteristics frosty leaves turn from a dark purple to black during flowering reaching maturity between 8 to 10 weeks,1
TheBlood,sativa,4,UpliftedArousedCreativeEnergeticEuphoric,EarthyPungentTropical,The Blood is a Hawaiian landrace phenotype that appears so rarely that it has gained a mythological status among growers The Blood was given its name for the red veins found in its stems and leaves and the deep red sap that flows from them The Pua Mana 1st Hawaiian Pakall Seed Banks Kona Gold Blood phenotype and other Blood phenotypesare believed to be a sign from Ke Akua God blessing the grower and signaling an abundant harvest,0
TheCough,sativa,4,UpliftedEuphoricEnergeticFocusedGiggly,PungentPineCitrus,The Cough is a sativadominant hybrid of the renowned Northern Lights 5 and Haze This cross is named for its thick smoke that expands the lungs and often causes consumers to cough The flavor and aroma is a mixture of earthy hash notes and a hint of citrus The Cough produces a happy mindset and a relaxed body making it a great strain to counter stress,0
TheDoctor,indica,4,EuphoricHappySleepyArousedEnergetic,CitrusSweetGrapefruit,Bred by Green House Seeds The Doctor is an indicadominant strain designed to treat a myriad of unpleasant symptoms such as pain nausea appetite loss and insomnia Its name also comes in tribute to the motorcycle racer Valentino Rossi also called The Doctor Heavy sedating effects act fast leaving you feeling pacified and calm Earthy flavors soured by skunky fruity notes arrive on the inhale making their exit with the taste of hashy spice Great White Shark Super Skunk and an unnamed South Indian parent lend The Doctor its genetic blueprint,1
TheFork,sativa,0,,Unknown,Colorado Seed Incs The Fork is dubbed as such because the original breeders utilized a fork a knife and a spoon in lieu of tagging their three mysterious Hawaiian strains with specific names Those marked with a knife and spoon turned out to be less than satisfactory but The Fork expressed brilliant sativadominant qualities that could not be ignored With effects similar to those of Durban Poison The Fork dishes up exhilarating physical and mental energy that encourages activity,0
Hog,indica,4,GigglySleepyRelaxedEuphoricHappy,WoodySweetEarthy,Originally bred by TH Seeds in Amsterdam The Hogis regarded as one of the strongest strains in the world and won a High Times Cannabis Cup for the best indica in 2002 This strain is recognized by its pungent aroma indicative of its worldrenowned extremely heavy body buzz In fact it is so potent that many advise cautionary dosage control The short plant is relatively easy to grow indoors or outdoors with slightly taller growth outdoors and has a flowering time between 8 to 10 weeks The yield is high given the plants size producing buds with high THC content ideal for pain relief and other medical uses,1
TheLoops,indica,5,EuphoricGigglyHappyRelaxedSleepy,,The Loops is a potent indicadominant cross of Granddaddy Purple OG Kush and Volcano Hash created by Insanity Strains This sedative strain expresses frosty purple buds wrapped in dark green foliage and bright orange hairs The Loops is a heavy indica that erases problems from the mind while locking the consumer to the couch High levels of THC and the terpeneMyrcene ensure a relaxing experience that evaporates stress and remedies restlessness,1
TheOx,indica,4,RelaxedHungryEuphoricHappyUplifted,CoffeeBerrySweet,Rare Dankness created their own version of Bubba Kush by crossing it with their Stone Mountain a Bubba Kush andBlue Moonshine hybrid The OX has a delightful flavor of coffee and berries and a high CBD content making it a good choice for medical users Many indica hybrids have been created using The OX including Chem OX Blue OX and Harlox,1
TheOoze,indica,5,TinglyUpliftedCreativeEuphoricFocused,SpicyHerbalSweetApple,The Ooze is an 8020 indicadominant cross of Green Crack and White Fire Alien OG With effects that sedate and relax The Ooze takes its title seriously Employ this heavyweight in the evening to stimulate appetite and encourage rest or look to this strain for contending with strong social anxiety Just dont plan on doing too much too fast,1
TheSister,indica,4,RelaxedUpliftedCreativeEuphoricFocused,SweetDieselCitrus,The Sister is an 8020 indicadominant strain that is said to be a rare sister cut of Chemdawg Although led by indica genetics The Sister provides uplifting clearheaded euphoria that leaves the mind awake and nimble for creative endeavors while also kickstarting the appetite Like her sister this strain takes on a sweet citrus and sour diesel aroma,1
ThorsHammer,sativa,4,EuphoricCreativeEnergeticHappyAroused,SweetPungentMenthol,Thors Hammer by SnowHigh Seeds is an uplifting sativa strain that combines genetics from Vortex Cinderella 99 and Acapulco Gold Like a bolt of lightning commanded by the Norse god himself Thors Hammer delivers an electrifying blast of cerebral energy that awakens creativity and motivation Its lightweight body effects make this strain a great choice for daytime use and patients needing to crush fatigue and depression like the giants of Jotunheimr will likely find Thors Hammer to be the perfect weapon You may also find agenetic variant of Thors Hammer from Alaskathat insteadcombines God Bud and Sour Dieselin a more balanced indicasativa hybrid cross,0
ThrowbackKush,indica,4,HungryRelaxedSleepyHappy,EarthyWoody,Throwback Kush is an indicadominant cannabis strain bred by Exotic Genetix It is a combination of an oldschool OG Kush mother from the 1990s and a Green Ribbon BX backcross father The resulting hybrid creates a mix of citrus flavors with a sharp pungent note that is reminiscent of Pinesol and gives way to relaxing indica effects that are balanced by a dash of uplifting sativa energy,1
ThunderbirdRose,sativa,4,EuphoricUpliftedRelaxedFocusedHappy,RoseSweetEarthy,Thunderbird Rose is a sativa strain bred by Kotton for Rebel Spirit Cannabis of Eugene Oregon This strain produces large lime green buds that express engorged trichomecovered calyxes and crimson pistils Thunderbird Roseis a generous producer that has a healthy resistance to mold and pests The aroma is floral with notes of deep green forest fuel and blueberry Thunderbird Rose is an uplifting and euphoric cross that arouses creativity and enhances mood,0
Thunderstruck,sativa,4,RelaxedUpliftedCreativeFocusedTalkative,SweetEarthyTropical,Thunderstruck is a powerful rock n roll themed CBD strain without the big hair Named after the ACDC song of the same name you might have guessed that Thunderstruck is the genetic cross of two highCBD ACDC phenotypes And just when you thought things couldnt get more metal Thunderstruck offers consumers a 121 CBDTHC ratio that can help ease nausea abate seizure activity and reduce inflammation all while keeping the consumer clear headed The aroma and flavors of Thunderstruck are grassy and subtle Enjoy this sativadominant cross if you are looking for a quality medicinal strain with little to no psychoactive effects  ,0
TigersMilk,indica,4,RelaxedEuphoricHappySleepyUplifted,EarthyPungentFlowery,Tigers Milk by Bodhi Seeds is a powerful indicadominant strain that descends from Bubba Kush and Appalachia Initially Tigers Milk hits with intense cerebral euphoria an experience described by its breeders as being borderline psychedelic Tapering down to restful relaxation over time this indica is commonly looked to for its painrelieving and sleepy qualities Its aroma is a complex mix of earthy notes led by hints of sweet honey and hashy spice,1
Tigermelon,indica,3,HappyCreativeRelaxed,SpicyHerbalCitrusChestnut,Tigermelon is a mysterious strain of unknown origin that has been used by the breeder Bodhi Seeds to create some spectacular hybrids such as Snow Leopard It is thought to be a threeway cross of Chemdawg Apollo 11 Genius cutand an Uzbekistani indica and the smell has been described by Bodhi as sandalwood mango lassi,1
Timewreck,sativa,4,EuphoricHappyUpliftedTalkativeGiggly,CitrusPepperGrapefruit,Bred by TGA Genetics Timewreck is a 70 sativa cross between Vortex andBlood Wreck Chernobyl x Qrazy Train The sour fruity flavors of Vortex enliven Trainwrecks subtle earthy aromas with pungent notes of lemon lime sandalwood and pear Timewrecks High Times Cupwinning THC content delivers potent relief to severe medical symptoms but novice consumers should be wary of this sativas intensity In large doses Timewreck induces a disorienting euphoria that begins to justify this strains name but smaller amounts are more likely to bring on engaged creativity and energy Timewreck typically produces moderate indoor yields following its 60 to 70 day flowering time,0
TitansHaze,sativa,4,HappyTinglyEnergeticEuphoricTalkative,SpicyHerbalPungentSkunk,Bred by Flying Dutchmen Titans Haze is sativa cross of Haze and Skunk 1 This strain brings a powerful cerebral rush that sativa connoisseurs crave with the smell and flavor of herbal spice Its a goto hybrid for creative minds looking for that stimulating and energizing buzz during daytime hours These plants fare well in high humidity or dry climates and have proven resistant to pests and molds,0
TonicsWeb,indica,0,,,Tonics Web is a seedonly strain from THClones This flower was bred by blending the everpopular and CBDrich Charlottes Web with Chocolate Tonic Together they create a sweet and savory bouquet of coffee pine and citrus deliveringtingly physical effects that lead to couch lock The mental state is creative but stunted by the strains heavy relaxation As with most indicas Tonics Web is best utilized at night to harness the powerful sedation native to this strain,1
ToraBora,indica,4,HappyRelaxedSleepyEuphoricCreative,PineEarthyBerry,Tora Bora is an almost pure indica strain with powerfully heavy effects meant for hightolerance cannabis veterans Named after the region near the AfghanistanPakistan border DNA Genetics bred this 99 indica strain by combining LA Confidential and X18 Pure Pakistani The result is a resinloaded spicysmelling indica that can appear almost blue in its coloration Few strains will deliver better relief for pain and insomnia and recreational consumers will enjoy the intensity of Tora Bora as long as no plans are made to leave the house Tora Bora finishes its vegetative cycle quickly and flowers in just a short 8 to 9 weeks indoors,1
TrainingDay,indica,4,RelaxedEuphoricTinglyHappySleepy,CitrusLimeChemical,Bred by DNA Genetics Training Day is a 70 indica that combines parent strains Trainwreck and LA Confidential This California native takes after its LA Confidential parent in aroma and delivers a pungent earthy and pine flavor As demonstrated by its thick blanket of crystal resin Training Day will put your THC tolerance to the test so novices should approach this strain with caution,1
TranquilElephantizerRemix,indica,4,RelaxedSleepyEuphoricHappyHungry,SweetBerryEarthy,Tranquil Elephantizer Remix by Bodhi Seeds is heavy sensual indica strain built to please the body Created by combining Ndnguys 1988 G13Hash Plant also known as Deadly G and the rare Snow Lotus Tranquil Elephantizer offers a pleasurable sensory experience combined with pleasant indicadominant sedation This strain has a pungent and herbaceous odor with just a hint of sweetness and spice Its flavors are earthy and herbal leaving notes of pepper and pine on the palate Enjoy Tranquil Elephantizer to excite the body while mellowing the mood,1
TriangleKush,indica,4,RelaxedSleepyEuphoricHappyCreative,EarthyPineSweet,Triangle Kush is an indicaoriginating in Florida named after the states three cannabisproducing capitals Jacksonville Miami and Tampa Indoor or outdoor grows are low yielders but clear active effects stimulating creativity and discussion drive this strains production Flowers are expected at around 70 days,1
Trinity,sativa,4,HappyUpliftedEuphoricRelaxedAroused,EarthyPungentSkunk,A rumored hard to find strain Trinity is known to have a strong skunklike smell with an uplifting high,0
TripleCheese,indica,4,RelaxedSleepyHappyEuphoricTingly,EarthyPungentCheese,One cheese two cheese Old Cheese crossed with Blue Cheese Triple Cheese by worldrenowned breederBarneys Farm brings classic Cheese genetics together with a sweet Cheese hybrid This odoriferous union combines the earthy caveaged funk of Old Cheese and the sweet and savory bouquet of Blue Cheese creating a oneofakind terpene profile Known to consistently reach 22 THC or higher this manageable plant offers Cheese lovers new levels of complexity while preserving enjoyable effects ,1
TripleDiesel,sativa,4,RelaxedFocusedSleepyEuphoricHappy,DieselSweetEarthy,Triple Diesel is one of those sativa strains that sure feels a lot like an indica In smaller doses its mental effects can be active enough to leave you focused and thoughtful but taken in higher amounts this strain will lead to a complete brain vacation Its cross is the result of three diesel favorites Sour Diesel Strawberry Diesel and NYC Diesel which is apparent in its sweet stinky aroma If you like that diesel kick both in aroma and head effects this is the trifecta for you,0
Trix,sativa,4,UpliftedEnergeticFocusedRelaxedTingly,LimeGrapefruitTropical,Riot Seeds claims to have created the most potent and reliable Colombian Gold hybrid in the world by crossing a New World landrace with Loompas Chemdawg D cut Combining the sweet fruity smell of Colombian Gold with the fuel scents of Chemdawg makes Trix a delicious smoke Finishing in 10 weeks and producing massive yields Trix is sure to be a sativa growers dreamUsers can expect an electric motivating high from this strain ,0
TrueOg,indica,4,RelaxedEuphoricHappySleepyCreative,EarthyPinePungent,True OG is a popular indica strain that was originally discovered in Southern California where the term OG originally meant ocean grown Bred with genetics from the very popular OG Kush True OG is potent enough for mellow lasting effects combined with a more focused head high Flowers have a pungent crisp citrus and evergreen scent True OG has snagged the 2nd place indica spot in every High Times Medical Cup since 2010,1
TrueX,indica,3,UpliftedFocusedSleepyRelaxedTingly,EarthyWoodyPine,True X by Royal Choice Farms is an indicadominant strain built for relaxation Created by crossing C4 and True OG True X is a sweet OG cross that offers traditional Kush effects that settle nicely on the body while percolating a warm welcoming euphoria between the ears Utilize this strain during the evening to relax the body and prepare for sleep True Xs sweet and spicy terpenes make for a flavorful nightcap after a long day,1
TruffleButter,indica,4,ArousedSleepyEuphoricGigglyHappy,SweetVanillaChestnut,Truffle Butter by THClones is a sedating genetic cross with sweet terpenes Created by crossing Gelato and Chocolate Kush this strains aroma is a mixture of fruit caramel and floral notes Truffle Butter gently sedates the body turning even seasoned consumers into lethargic couch potatoes This strains relaxing qualities make it ideal for abating stress and insomnia,1
TunaKush,indica,4,RelaxedSleepyHappyEuphoricUplifted,SkunkEarthyPungent,Tuna Kush is a BC legend that is now surfacing in North American medical cannabis markets This strain has been deemed one of the most potent available producing small dense nuggets that are hardcaked with resin Although Tuna Kush is not known for its large yield what does come off these thinner stalks will be rich with potency and flavor That being said if this strain makes it to your grow upgrade your carbon filtersbecause this bud is stinky Expect notes of pungent skunk fuel and a delicate sweetness intermixed,1
Tutankhamon,sativa,4,HappyFocusedUpliftedEnergeticEuphoric,PungentSkunkFlowery,Tutankhamon AKA King Tut by Pyramid Seeds has kept the sour skunky smell of its parent strain AK47 as well as the sativadominant effects making it a great choice for social outings or creative stimulation This strain has built a reputation for having high THC levels and the flavor has hints of fresh fruit and flowers that make this beautiful bud fit for a king,0
Twista,sativa,4,CreativeEnergeticHappyTalkativeFocused,SweetCitrusLime,Twista from Denvers Green Solution is a sativadominant strain with energetic focused effects and a high THC content Its powerfully invigorating effects colored by Twistas sweet citrus aroma stay cerebrally locked for the duration of the buzz This sativa won 3rd place in the 2014 Denver Cannabis Cup and is thought to descend from the Flying Dutchmans Twister strain,0
TwistedCitrus,sativa,4,EnergeticUpliftedRelaxedCreativeHappy,CitrusOrangeEarthy,Twisted Citrus is a sativadominant strain with a THC content that can climb to heights as high as 27 With a name like Twisted Citrus you might anticipate the tropical fruity aromas even before opening your stash jar A bold fusion of oranges and banana flavors overwhelm the inhale and fade to subtle earthiness on the release Next comes the upbeat energized cerebral euphoria coupled with mellow uplifting body effects sensations that you can appreciate any time of the day,0
Tyson,indica,4,RelaxedSleepyUpliftedHungryHappy,EarthyPungentSweet,Named after former undisputed heavyweight champion Mike Tyson this strain is sure to knock you out With a pungent diesel aroma Tyson delivers a punch of indica effects known to fully relax the body while dulling pain stress insomnia and appetite loss This strain is not intended for first time users and should only be consumed by indica connoisseurs Tyson has been Canna Clinics signature strain since its inauguration in 2011,1
U2Kush,indica,4,RelaxedHappyUpliftedHungryGiggly,SweetWoodyFlowery,U2 Kush or Ewe2 Kush is an 80 indica strain bred from the genetics of Master Kush and Bubba Kush Its dense resinous buds are accented with a sweet earthy aroma soured by a subtle skunky flavor U2 Kushs onset begins with a powerful euphoric buzz with sedating fullbody effects to follow Its tranquilizing effects that creep in over time make U2 Kush popular among patients treating insomnia and pain U2 Kush plants are short sturdy and easy to raise and while indoor growers wait 8 to 9 weeks for this indica to complete its flowering cycle outdoor gardens finish between September and October,1
Uw,indica,4,RelaxedSleepyHungryHappyUplifted,TreeFruitSweetGrape,UW is amarijuana strain that comes with its own superhero origin story Popular rumor has it thata clone plant was stolen from a certain Pacific Northwest universitys medical research lab in the early ninetiesin some versions by a rogue graduate studentand has since been a popular top shelf indica These buds show their university pride with purple coloring and the dense sticky buds are at the top of the class when it comes to potency Almost entirely indica this strains powerful high is sedative and popular for pain relief and insomnia A mix of tropical fruit and a little spice the aroma also earns high marks,1
UltimateTrainwreck,sativa,4,EuphoricEnergeticArousedFocusedHappy,TropicalSweetSpicyHerbal,Ultimate Trainwreck is the more potent more heavily sativa cousin of the hugely popular Trainwreck strain Its a great sativa that will send your brain into space and also packs a strong body buzz Less active than the original these dense colorful flowers are not a good choice if mental clarity is desired Ultimate Trainwreck buds have a skunky earthy aroma with a sweet citrus punch,0
UltraBanana,indica,5,SleepyTinglyGigglyHungryRelaxed,AmmoniaLemonPineapple,Ultra Banana is a delicious sleepinducing cross of MK Ultra and Banana Kush MK Ultra possesses strong indicadominant genetics including OG Kush and G13 which are amplified by the sweet and floral elements of Banana Kush This sedating combination lays into the body weighing the consumer down with potent relaxation ideal for late evenings Enjoy Ultra Banana to help relieve restlessness anxiety and general pain while stimulating introspective thought  ,1
UltraSour,sativa,4,UpliftedCreativeEnergeticEuphoricFocused,DieselSkunkLime,Ultra Sour by THSeeds is a tart cross out of Amsterdam This strain is the product of crossing MK Ultra and East Coast Sour Diesel creating a sativadominant bud with uplifting stimulation and heady euphoria Ultra Sour smells of pine and diesel and its buds are deep green with rusty orange pistils The potent mental effects can be a little daunting for inexperienced consumers so mind your dosage Enjoy Ultra Sour as a means to shrug offstress and enhance creativity ,0
UltravioletOg,indica,4,RelaxedHappyUpliftedEuphoricSleepy,FloweryBerryEarthy,From Archive Seeds UltraViolet OG is an 80 indica strain bred by crossing Face Off OG with Purple Indica from the Pacific Northwest With this genetic combination the breeders hoped to improve the yield and flowering time while still maintaining a deep purple coloration and UltraViolet OG achieved just that This powerful indica strain delivers dreamy sleepy euphoria that gives your eyelids some heaviness at night while giving your mood a burst of positivity,1
VaderOg,indica,4,SleepyRelaxedHappyEuphoricHungry,EarthyFlowerySweet,Vader OG by Ocean Grown Seeds is the namesake strain of one of OGSs master growers Vader This cross began in 2006 with the combination of SFV OG and Larry OG and evolved over a laborious process of identifying the best phenotypes to breed forward By 2009 Vader OG had become a mainstay of the Ocean Grown Seeds roster and gave way to several new OG crosses The terpene profile is rich with pinene spice and hash Vader OGs effects are euphoric while remaining strongly indicadominant locking consumers to their seat Its effects are ideal for curbing pain and stress but may also be used as a sleep aid in the proper dosage,1
VanillaKush,indica,4,RelaxedHappySleepyEuphoricHungry,VanillaSweetFlowery,This indica strain comes from Barneys Farm in Amsterdam and clinched 2nd place overall at the 2009High TimesCannabis Cup for the coffee shop and seed company Bred from Afghan and Kashmir strains this Kush beauty is a gift to the senses with her notes of vanilla lavender and a hint of citrus Plants flower in 8 weeks and produce large soft flowers that are light green with hints of orange This strain has a high THC content often measuring over 20 making it a potent choice that might be strong for new users,1
VelvetBud,sativa,3,UpliftedEnergeticEuphoricTalkativeAroused,SweetCitrusSpicyHerbal,Like the name suggests Velvet Bud will produce a smoke that is smooth like velvet A mostly sativa that crosses Dutch Treat and Blueberry this fruity strain is a great choice for anyone struggling with depression anxiety and stress,0
VeniceOg,sativa,4,UpliftedHappyEnergeticCreativeFocused,CitrusPinePungent,Native to the freewheeling California beach city its named after Venice OG is a powerful sativadominant strain with energetic effects that make it great for daytime use Almost devoid of any sleepy effects Venice will have you ready to work on projects run errands or just hang out on the beach,0
VeryBerryHaze,sativa,4,HappyUpliftedEuphoricHungryRelaxed,BerryPungentSweet,This 100 sativa strain was first created by the breeders at Apothecary Genetics as a combination of the popular sativas ,0
ViolatorKush,indica,4,RelaxedSleepyHappyEuphoricUplifted,EarthySpicyHerbalWoody,Violator Kush is a pure indica from old school Dutch breeders Barneys Farm A cross of Malana and Hindu Kush genetics it produces large yields of superresinous flowers on a short bushy plant This indicahas a musty earthy smell and taste and provides a strong body buzz that will leave you stuck to your chair,1
Viper,sativa,4,EnergeticTalkativeHappyGigglyUplifted,CitrusPungentSpicyHerbal,Viperis an invigoratingsativa that was bred from an indigenous Burmese landrace and a native Mexican strain known asBlackseed First cultivated by Reeferman Seeds Viper inherits buzzing cerebrallytargetedeffects and a spicy citrus aroma In a show of its nearly pure sativa genetics Viper grows tall and bears fluffy buds that finish their flowering cycle in about 10 weeks,0
Voodoo,sativa,4,HappyRelaxedUpliftedEuphoricTingly,EarthyPungentSweet,Voodoo bred from a Thai landrace in 1997 is an uplifting sativa cannabis strain with longlasting euphoric effects A fresh fruity aroma emanates from the dense pinegreen buds enameled in crystal trichomes with nutty and spicy flavors to follow Depression fatigue and stress stand no chance against the uplifting almost energizing qualities of Voodoo This strain prospers both indoors and outdoors and flowers 8 to 9 weeks after its vegetative cycle,0
